Date/Time,Electricity:Facility [J](TimeStep),Gas:Facility [J](TimeStep),Gas:Facility [J](Daily),Electricity:Facility [J](Daily) 
 07/31  00:01:00,96579839.97183298,166259.21810870159 
 07/31  00:02:00,97473110.01440345,166259.21810870159 
 07/31  00:03:00,92920480.92428918,166259.21810870159 
 07/31  00:04:00,90360718.3574885,166259.21810870159 
 07/31  00:05:00,91723016.51865183,166259.21810870159 
 07/31  00:06:00,90935623.46381499,166259.21810870159 
 07/31  00:07:00,90900305.83174604,166259.21810870159 
 07/31  00:08:00,89830736.69834197,166259.21810870159 
 07/31  00:09:00,85145711.48336758,166259.21810870159 
 07/31  00:10:00,82329308.43766833,166259.21810870159 
 07/31  00:11:00,85057445.3309481,166259.21810870159 
 07/31  00:12:00,84367157.3489172,166259.21810870159 
 07/31  00:13:00,84158816.74855608,166259.21810870159 
 07/31  00:14:00,83908492.9391067,166259.21810870159 
 07/31  00:15:00,83576869.3468484,166259.21810870159 
 07/31  00:16:00,83276705.29500467,166259.21810870159 
 07/31  00:17:00,82976899.72292474,166259.21810870159 
 07/31  00:18:00,82697964.0196817,166259.21810870159 
 07/31  00:19:00,82432274.31936395,166259.21810870159 
 07/31  00:20:00,82197239.24845337,166259.21810870159 
 07/31  00:21:00,81977838.55103314,166259.21810870159 
 07/31  00:22:00,81767178.13462726,166259.21810870159 
 07/31  00:23:00,81564731.30571933,166259.21810870159 
 07/31  00:24:00,81369567.04672028,166259.21810870159 
 07/31  00:25:00,81180712.9536027,166259.21810870159 
 07/31  00:26:00,81007296.29582812,166259.21810870159 
 07/31  00:27:00,80841347.75413092,166259.21810870159 
 07/31  00:28:00,80679606.97938554,166259.21810870159 
 07/31  00:29:00,80521712.92815337,166259.21810870159 
 07/31  00:30:00,80367319.61033224,166259.21810870159 
 07/31  00:31:00,80200301.46209349,166259.21810870159 
 07/31  00:32:00,80001069.02604716,166259.21810870159 
 07/31  00:33:00,79827654.59098166,166259.21810870159 
 07/31  00:34:00,79670500.01188968,166259.21810870159 
 07/31  00:35:00,79523020.4662452,166259.21810870159 
 07/31  00:36:00,79380691.54149549,166259.21810870159 
 07/31  00:37:00,79242156.79283183,166259.21810870159 
 07/31  00:38:00,79110565.9829739,166259.21810870159 
 07/31  00:39:00,78981827.90480818,166259.21810870159 
 07/31  00:40:00,78854679.6460296,166259.21810870159 
 07/31  00:41:00,78729046.62840699,166259.21810870159 
 07/31  00:42:00,78605213.60778299,166259.21810870159 
 07/31  00:43:00,78482826.44647214,166259.21810870159 
 07/31  00:44:00,78365108.43068819,166259.21810870159 
 07/31  00:45:00,78248099.6213461,166259.21810870159 
 07/31  00:46:00,78135126.42447387,166259.21810870159 
 07/31  00:47:00,78023435.5201516,166259.21810870159 
 07/31  00:48:00,77912823.70654086,166259.21810870159 
 07/31  00:49:00,77803223.66141932,166259.21810870159 
 07/31  00:50:00,77697225.41200961,166259.21810870159 
 07/31  00:51:00,77591170.00053641,166259.21810870159 
 07/31  00:52:00,77488323.69556332,166259.21810870159 
 07/31  00:53:00,77373379.85018476,166259.21810870159 
 07/31  00:54:00,77281182.81867452,166259.21810870159 
 07/31  00:55:00,77189330.46529477,166259.21810870159 
 07/31  00:56:00,77100338.08413247,166259.21810870159 
 07/31  00:57:00,77012154.97718707,166259.21810870159 
 07/31  00:58:00,76924427.83199708,166259.21810870159 
 07/31  00:59:00,76837196.43947052,166259.21810870159 
 07/31  01:00:00,76750510.57922179,166259.21810870159 
 07/31  01:01:00,76693740.15771713,166259.21810870159 
 07/31  01:02:00,76639868.02684611,166259.21810870159 
 07/31  01:03:00,76588053.98957473,166259.21810870159 
 07/31  01:04:00,76537322.07687198,166259.21810870159 
 07/31  01:05:00,76487469.17003201,166259.21810870159 
 07/31  01:06:00,76438323.37738136,166259.21810870159 
 07/31  01:07:00,76389895.67145819,166259.21810870159 
 07/31  01:08:00,76343611.80243489,166259.21810870159 
 07/31  01:09:00,76298047.7906718,166259.21810870159 
 07/31  01:10:00,76252856.12692662,166259.21810870159 
 07/31  01:11:00,76205229.36642115,166259.21810870159 
 07/31  01:12:00,76157717.74944031,166259.21810870159 
 07/31  01:13:00,76110599.4724361,166259.21810870159 
 07/31  01:14:00,76065157.280196,166259.21810870159 
 07/31  01:15:00,76020239.91860256,166259.21810870159 
 07/31  01:16:00,75975569.7127264,166259.21810870159 
 07/31  01:17:00,75931258.94199877,166259.21810870159 
 07/31  01:18:00,75887222.31200989,166259.21810870159 
 07/31  01:19:00,75843412.34138565,166259.21810870159 
 07/31  01:20:00,75801000.148852,166259.21810870159 
 07/31  01:21:00,75759006.40417402,166259.21810870159 
 07/31  01:22:00,75717297.57560054,166259.21810870159 
 07/31  01:23:00,75675808.46483675,166259.21810870159 
 07/31  01:24:00,75634527.57697597,166259.21810870159 
 07/31  01:25:00,75593432.47840427,166259.21810870159 
 07/31  01:26:00,75553512.74964857,166259.21810870159 
 07/31  01:27:00,75514011.25284031,166259.21810870159 
 07/31  01:28:00,75474695.09571857,166259.21810870159 
 07/31  01:29:00,75435547.17825996,166259.21810870159 
 07/31  01:30:00,75396579.1996642,166259.21810870159 
 07/31  01:31:00,75357768.17168544,166259.21810870159 
 07/31  01:32:00,75320017.94032975,166259.21810870159 
 07/31  01:33:00,75282580.55026482,166259.21810870159 
 07/31  01:34:00,75245291.28713365,166259.21810870159 
 07/31  01:35:00,75208150.8705493,166259.21810870159 
 07/31  01:36:00,75171167.03542328,166259.21810870159 
 07/31  01:37:00,75134368.48836266,166259.21810870159 
 07/31  01:38:00,75098441.50071003,166259.21810870159 
 07/31  01:39:00,75062779.8517444,166259.21810870159 
 07/31  01:40:00,75027248.03679352,166259.21810870159 
 07/31  01:41:00,74991846.40687508,166259.21810870159 
 07/31  01:42:00,74956625.50765476,166259.21810870159 
 07/31  01:43:00,74921531.92619825,166259.21810870159 
 07/31  01:44:00,74887189.63255485,166259.21810870159 
 07/31  01:45:00,74853077.49709633,166259.21810870159 
 07/31  01:46:00,74819084.75795527,166259.21810870159 
 07/31  01:47:00,74785239.00505683,166259.21810870159 
 07/31  01:48:00,74751525.5987274,166259.21810870159 
 07/31  01:49:00,74717917.45414385,166259.21810870159 
 07/31  01:50:00,74684966.42970895,166259.21810870159 
 07/31  01:51:00,74652218.92190735,166259.21810870159 
 07/31  01:52:00,74619608.33948931,166259.21810870159 
 07/31  01:53:00,74587103.77066835,166259.21810870159 
 07/31  01:54:00,74554713.94763132,166259.21810870159 
 07/31  01:55:00,74522418.54029352,166259.21810870159 
 07/31  01:56:00,74490700.06448366,166259.21810870159 
 07/31  01:57:00,74459186.07795674,166259.21810870159 
 07/31  01:58:00,74427774.43345131,166259.21810870159 
 07/31  01:59:00,74396453.17931472,166259.21810870159 
 07/31  02:00:00,74365236.81484328,166259.21810870159 
 07/31  02:01:00,74334239.59298288,166259.21810870159 
 07/31  02:02:00,74303751.00844199,166259.21810870159 
 07/31  02:03:00,74273427.15224186,166259.21810870159 
 07/31  02:04:00,74243186.31763494,166259.21810870159 
 07/31  02:05:00,74213023.83204417,166259.21810870159 
 07/31  02:06:00,74182951.57212362,166259.21810870159 
 07/31  02:07:00,74152972.24824013,166259.21810870159 
 07/31  02:08:00,74123446.81180698,166259.21810870159 
 07/31  02:09:00,74094066.61975982,166259.21810870159 
